Stadsdel ◄,Lägenhet,Bos.t. ◄,m2 ◄,Sk.fr. pris € ◄,€/m2 ◄,Br ◄,Vån ◄,Hiss ◄,Skick ◄,Tomt ◄,Energik. ◄
Raunistula,1h+kt,kt,"27,50",162400,5905,2019,6/6,ja,bra,egen,C2013
Itäinen keskusta,"1h, kk",kt,"28,00",150500,5375,1966,2/7,ja,nöjaktig,egen,E2013
Länsinummi,1h+kk+kph/wc+vh,kt,"30,00",72000,2400,1976,6/9,ja,nöjaktig,egen,E2007
Satama,"1 h,tk,parveke",kt,"30,00",154000,5133,2020,4/7,ja,,egen,A2018
Keskusta,"1h,alkovi, k, k...",kt,"41,00",162000,3951,1962,6/7,ja,nöjaktig,egen,D2013
Raunistula,1h+kt+p,kt,"25,00",169630,6785,2019,6/6,ja,bra,egen,C2013
Satama,1h+kt,kt,"25,50",125000,4902,2020,7/7,ja,bra,hyrd,B2013
Martinmäki,"1h,keittosyvenn...",kt,"29,00",139000,4793,1961,5/7,ja,nöjaktig,egen,D2007
Raunistula,1h+kt+p,kt,"25,00",170900,6836,2019,6/6,ja,bra,egen,C2013
Satama,"1 h,tk,parveke",kt,"34,00",173500,5103,2020,6/7,ja,,egen,A2018
Vähäheikkilä,"1h, k, kph, ran...",kt,"28,00",87000,3107,1957,2/2,nej,bra,egen,D2007
Martinmäki,1h+kk,kt,"29,00",143000,4931,1961,4/7,ja,bra,egen,D2007
Keskusta / linnanfältti,"1 h,kt",kt,"26,00",125890,4842,2020,1/4,ja,,hyrd,B2018
Satama,"1 h,tk,parveke",kt,"30,00",153300,5110,2020,4/7,ja,,egen,A2018
Satama,"1 h,tk,parveke",kt,"30,00",161000,5367,2020,6/7,ja,,egen,A2018
Kakolanmäki,"1 h,kt",kt,"24,00",145900,6079,2020,2/6,ja,,hyrd,B2018
Koivula,"1h,kk,kph,vh,patio",kt,"30,00",73000,2433,1985,,ja,bra,egen,F2013
Satama,"1 h,tk,parveke",kt,"30,00",156000,5200,2020,5/6,ja,,egen,A2018
Ilpoinen,"1h, kk (avokeit...",kt,"29,00",73200,2524,1971,5/8,ja,bra,egen,D2007
Nummi,"1 h, kk, ph/wc, p",kt,"27,00",108000,4000,1958,3/10,ja,bra,egen,D2007
Satama,"1 h,tk,parveke",kt,"30,00",150000,5000,2020,3/7,ja,,egen,A2018
Härkämäki,"1h,k,kph,vh",kt,"35,00",57800,1651,1982,7/8,ja,nöjaktig,egen,B2007
Mäntymäki,"1h,kk",kt,"28,00",111000,3964,1958,2/7,ja,bra,egen,G2013
Satama,"1 h,tk,parveke",kt,"34,00",169000,4971,2020,4/7,ja,,egen,A2018
Teräsrautela,"1h,k,s,parv.",kt,"46,00",105000,2283,1985,3/3,nej,nöjaktig,egen,D2007
Hepokulta,"1h,kk,kh,lasit....",kt,"32,50",58647,1805,1973,2/8,ja,nöjaktig,egen,F2013
Luolavuori,"1h,kk,kph,et",kt,"30,00",102001,3400,1958,7/8,ja,nöjaktig,egen,F2013
Satama,"1 h,tk,parveke",kt,"30,00",157000,5233,2020,6/7,ja,,egen,A2018
Satama,"1 h,tk,terassi",kt,"30,00",146000,4867,2020,1/7,ja,,egen,A2018
Gränsbacka,1h+kt+kph+parveke,kt,"31,50",135000,4286,2018,1/4,ja,bra,egen,C2018
Hepokulta,"1h, kk",kt,"29,50",58999,2000,1974,4/8,ja,nöjaktig,egen,F2013
Portsa,1h+kk+suihku+wc,kt,"32,00",132500,4141,1929,2/6,nej,bra,egen,F2013
Keskusta,"1h,kk,kph",kt,"27,00",141000,5222,1961,4/8,ja,,egen,F2018
Satama,"1 h,tk,terassi",kt,"34,00",157000,4618,2020,1/7,ja,,egen,A2018
Kakolanmäki,autohallipaikka,kt,"13,00",17000,1308,2020,1/6,ja,,hyrd,B2018
Keskusta,"1h,kk,kh",kt,"20,50",100000,4878,1961,4/6,ja,bra,egen,E2007
Keskusta,"1h,kk",kt,"31,00",94000,3032,1960,1/9,ja,nöjaktig,egen,C2018
Lonttinen,"1h,k,kph,s",kt,"39,00",155000,3974,2001,2/4,ja,bra,egen,F2013
Martti,"1h, k",kt,"27,00",100000,3704,1951,3/5,nej,bra,egen,E2013
Keskusta,"1h,kk,kph,lasit.p.",kt,"31,00",120000,3871,1960,4/9,ja,nöjaktig,egen,D2018
Keskusta,"1h, k, kph, par...",kt,"31,00",137000,4419,1962,3/9,nej,nöjaktig,egen,
Suikkila,"1h, k, kph, par...",kt,"33,00",78000,2364,1977,1/7,nej,nöjaktig,egen,F2013
Petrelius,1h+kk,kt,"30,00",96000,3200,1976,3/8,ja,,egen,D2007
Satama,"1 h,tk,parveke",kt,"30,00",147000,4900,2020,3/7,ja,,egen,A2018
Itäinen keskusta,1 h+kk,kt,"32,00",95000,2969,1970,3/7,ja,bra,egen,F2013
Satama,"1 h,tk,parveke",kt,"34,00",155520,4574,2020,2/7,ja,,egen,A2018
Martti,"1h, kk, vaatehuone",kt,"20,00",112000,5600,1961,2/7,ja,bra,egen,D
Varissuo,1 h+kk,kt,"30,00",52000,1733,1978,1/8,ja,,hyrd,F2013
Luolavuori,"1 h,k,parv",kt,"30,00",94500,3150,1969,4/8,ja,bra,egen,D2007
Vasaramäki,"1h, kk, p",kt,"28,00",100000,3571,1964,1/6,ja,bra,egen,E2013
Keskusta,1h+k,kt,"36,00",132000,3667,1949,4/4,nej,bra,egen,F2013
Vasaramäki,"1h, kk",kt,"26,00",66300,2550,1961,1/4,nej,nöjaktig,hyrd,F2007
Vasaramäki,"1h, kk",kt,"28,00",72500,2589,1961,2/4,nej,nöjaktig,hyrd,F2007
Vasaramäki,"1h, kk",kt,"28,00",72500,2589,1961,2/4,nej,nöjaktig,hyrd,F2007
Itäinen keskusta,1h+kk+kh,kt,"28,00",146960,5249,1956,5/7,ja,nöjaktig,egen,F2013
Keskusta,"1h, kt, parvi",kt,"37,00",303400,8200,1898,3/5,ja,bra,egen,C
Vasaramäki,"1h, kk",kt,"28,00",71400,2550,1961,3/4,nej,nöjaktig,hyrd,F2007
Vasaramäki,"1h, kk",kt,"28,00",71400,2550,1961,2/4,nej,nöjaktig,hyrd,F2007
Vasaramäki,"1h, kk",kt,"28,00",71400,2550,1961,4/4,nej,nöjaktig,hyrd,F2007
Vasaramäki,"1h, kk",kt,"28,00",71400,2550,1961,4/4,nej,nöjaktig,hyrd,F2007
Vasaramäki,"1h, kk",kt,"28,00",71400,2550,1961,4/4,nej,nöjaktig,hyrd,F2007
Vasaramäki,"1h, kk",kt,"28,50",72675,2550,1961,1/4,nej,nöjaktig,hyrd,F2007
Vasaramäki,"1h, kk",kt,"24,00",61200,2550,1961,1/4,nej,nöjaktig,hyrd,F2007
