"Stadsdel ◄","Lägenhet","Bos.t. ◄","m2 ◄","Sk.fr. pris € ◄","€/m2 ◄","Br ◄","Vån ◄","Hiss ◄","Skick ◄","Tomt ◄","Energik. ◄"
"Keskusta","1h, kk, kph","kt","30,00",137000,4567,1964,"8/8","on","tyyd.","oma","C"
"Itäinen keskusta","1h,kk","kt","24,50",128000,5224,1962,"7/7","on","hyvä","oma","F2013"
"Satama","1h+kt","kt","25,50",125000,4902,2020,"7/7","on","hyvä","vuokra","B2013"
"Härkämäki","1h,k,kph,vh","kt","35,00",57800,1651,1982,"7/8","on","tyyd.","oma","B2007"
"Ruohonpää","1h, kk, p","kt","30,00",74000,2467,1990,"6/7","ei","hyvä","oma",
"Itäinen keskusta","1h, k","kt","55,00",183000,3327,1928,"6/6","on","hyvä","oma","D"
"Keskusta","1h+k+kph+parv","kt","32,00",160000,5000,1963,"6/6","on","tyyd.","oma","G2013"
"Itäinen keskusta","1h+kk+p","kt","28,00",111750,3991,1966,"6/6","on","tyyd.","oma","D2013"
"Pohjola","1h+kk","kt","27,00",129000,4778,1960,"6/7","on","hyvä","oma","F2018"
"Hepokulta","1h, kk, p","kt","34,00",56000,1647,1972,"6/8","on","tyyd.","oma","F2013"
"Raunistula","1h+kt","kt","27,50",162400,5905,2019,"6/6","on","hyvä","oma","C2013"
"Länsinummi","1h+kk+kph/wc+vh","kt","30,00",72000,2400,1976,"6/9","on","tyyd.","oma","E2007"
"Keskusta","1h,alkovi, k, k...","kt","41,00",162000,3951,1962,"6/7","on","tyyd.","oma","D2013"
"Raunistula","1h+kt+p","kt","25,00",169630,6785,2019,"6/6","on","hyvä","oma","C2013"
"Raunistula","1h+kt+p","kt","25,00",170900,6836,2019,"6/6","on","hyvä","oma","C2013"
"Satama","1 h,tk,parveke","kt","34,00",173500,5103,2020,"6/7","on"," ","oma","A2018"
"Satama","1 h,tk,parveke","kt","30,00",161000,5367,2020,"6/7","on"," ","oma","A2018"
"Martti","1h,kk,kph,p","kt","33,50",151200,4513,1993,"5/6","on","tyyd.","oma","E2013"
"Keskusta","1h, kk, p","kt","24,00",135550,5648,1962,"5/7","on","hyvä","oma",
"Satama","1 h,kt,p","kt","35,00",194000,5543,2022,"5/6","on"," ","oma","A2018"
"Satama","1 h,kt,p","kt","35,00",194000,5543,2022,"5/6","on"," ","oma","A2018"
"Satama","1 h,kt,p","kt","35,00",194000,5543,2022,"5/6","on"," ","oma","A2018"
"Läntinen keskusta","1h+alk+kt+parv","kt","44,00",195000,4432,2019,"5/6","on","hyvä","oma","C2013"
"Martti","1h+k+kph/wc+las...","kt","35,00",135000,3857,1961,"5/7","on"," ","oma","D2007"
"Lauste","h,kk","kt","30,00",60000,2000,1975,"5/8","on","hyvä","vuokra","D2018"
"Satama","1 h,tk,parveke","kt","30,00",158000,5267,2020,"5/7","on"," ","oma","A2018"
"Martinmäki","1h,keittosyvenn...","kt","29,00",139000,4793,1961,"5/7","on","tyyd.","oma","D2007"
"Satama","1 h,tk,parveke","kt","30,00",156000,5200,2020,"5/6","on"," ","oma","A2018"
"Ilpoinen","1h, kk (avokeit...","kt","29,00",73200,2524,1971,"5/8","on","hyvä","oma","D2007"
"Uittamo","1h, k, kph, vh","kt","39,00",100000,2564,1965,"4/7","on","tyyd.","oma","E2013"
"Keskusta","1h, kk, kh","kt","17,00",83000,4882,1936,"4/7","on","tyyd.","oma","F2013"
"Itäinen keskusta","1h+kk","kt","27,00",140000,5185,1928,"4/5","ei","tyyd.","oma","F2013"
"Satama","1 h,kt,p","kt","35,00",191000,5457,2022,"4/6","on"," ","oma","A2018"
"Itäinen keskusta","1h, kk, kph","kt","27,00",151000,5593,1928,"4/5","ei","hyvä","oma","C2007"
"Itäharju","tupakeitti...","kt","40,00",180000,4500,2000,"4/7","on","hyvä","oma","C2013"
"Läntinen keskusta","1h+alk+kt+parv","kt","44,00",246236,5596,2019,"4/6","on","hyvä","oma","C2013"
"Kakolanmäki","1h, kt, parveke","kt","31,00",185000,5968,2017,"4/5","on","hyvä","oma","C"
"Nummi","1h, kk,kh","kt","28,00",117000,4179,1960,"4/4","ei","hyvä","oma","E"
"Satama","1 h,tk,parveke","kt","30,00",154000,5133,2020,"4/7","on"," ","oma","A2018"
"Martinmäki","1h+kk","kt","29,00",143000,4931,1961,"4/7","on","hyvä","oma","D2007"
"Satama","1 h,tk,parveke","kt","30,00",153300,5110,2020,"4/7","on"," ","oma","A2018"
"Satama","1 h,tk,parveke","kt","34,00",169000,4971,2020,"4/7","on"," ","oma","A2018"
"Pohjola","1h+keittokomero...","kt","24,00",160000,6667,2018,"3/8","on","hyvä","oma","C2013"
"Westpark","1h+kk","kt","30,00",134000,4467,2011," ","on","hyvä","oma","A2013"
"Keskusta","1h,kk","kt","31,00",147501,4758,1929,"3/6","on","tyyd.","oma","F2013"
"Nättinummi","1 h+kk","kt","30,00",73000,2433,1973,"3/8","on","tyyd.","oma","F2013"
"Länt.keskusta","1h, kk, alkovi","kt","31,00",133500,4306,1951,"3/3","ei","hyvä","oma","D"
"Keskusta","1h, kk, kh","kt","30,00",134050,4468,1971,"3/8","on","hyvä","oma","D2013"
"Keskusta / linnanfältti","1h+kt+kph+p","kt","27,00",139000,5148,2018," ","on"," ","vuokra","B2018"
"Pohjola","1h+makuualkovi+...","kt","32,50",187000,5754,2018,"3/8","on","hyvä","oma","C2013"
"Keskusta","1h,kk","kt","35,00",147000,4200,1958,"3/7","on","tyyd.","oma","F2013"
"Satama","1 h,kt,p","kt","35,00",188000,5371,2022,"3/6","on"," ","oma","A2018"
"Keskusta / linnanfältti","1h+kt+kph+las.p","kt","27,00",139000,5148,2018,"3/3","on","hyvä","vuokra","B2018"
"Keskusta","1h,kk,s,lasit. ...","kt","37,00",167000,4514,2007,"3/8","on"," ","oma","E2013"
"Keskusta","1h+k+kph","kt","44,00",165500,3761,1931,"3/7","on","hyvä","oma","E2013"
"Keskusta / linnanfältti","1h+kt+kph+p","kt","27,00",140000,5185,2018,"3/3","on","hyvä","vuokra","B2018"
"Turku","1h, k, p","kt","39,00",152450,3909,1975,"3/5","on","tyyd.","oma","G2013"
"Keskusta","1h+kk+kph","kt","25,00",131000,5240,1959,"3/9","on","hyvä","oma","F"
"Itäinen keskusta","1h+kt","kt","27,00",159000,5889,1976,"3/8","on","hyvä","oma","D"
"Herttuankulma","1h+kt","kt","29,50",131000,4441,2020,"3/7","on","hyvä"," ","B2018"
"Linnanfältti","1h, kt","kt","26,00",135000,5192,2020,"3/3","on","hyvä","vuokra","B"
"Satama","1 h,tk,parveke","kt","34,00",162500,4779,2020,"3/6","on"," ","oma","A2018"
"Nummi","1 h, kk, ph/wc, p","kt","27,00",108000,4000,1958,"3/10","on","hyvä","oma","D2007"
"Satama","1 h,tk,parveke","kt","30,00",150000,5000,2020,"3/7","on"," ","oma","A2018"
"Teräsrautela","1h,k,s,parv.","kt","46,00",105000,2283,1985,"3/3","ei","tyyd.","oma","D2007"
"Suikkila","1h+pk","kt","35,00",89000,2543,1974,"2/4","ei","hyvä","oma","E2013"
"Runosmäki","1h, kk","kt","33,00",53000,1606,1975,"2/3","ei","hyvä","vuokra","D"
"Itäinen keskusta","1H+K","kt","43,10",171000,3968,1925,"2/5","on","tyyd.","oma","G2013"
"Nummi","1h+k","kt","25,00",64960,2598,1951,"2/3","ei","tyyd.","oma","F2013"
"Nättinummi","1 h+kk","kt","30,00",79000,2633,1976,"2/9","on","tyyd.","oma","E2013"
"Satama","1 h,kt,p","kt","35,00",184000,5257,2022,"2/6","on"," ","oma","A2018"
"Satama","1 h,kt,p","kt","35,00",184000,5257,2022,"2/6","on"," ","oma","A2018"
"Satama","1 h,kt,ransk.parv.","kt","35,00",179000,5114,2022,"2/6","on"," ","oma","A2018"
"Satama","1 h,kt,ransk.parv.","kt","35,00",179000,5114,2022,"2/6","on"," ","oma","A2018"
"Keskusta","1 h, kk, kph.","kt","33,00",135000,4091,1955,"2/9","ei","hyvä","oma","E2013"
"Kakola","1H, KT, KH","kt","30,00",199000,6633,1925,"2/3","on","hyvä","oma",
"Keskusta","1h+kk+kph/wc","kt","29,00",135000,4655,1959,"2/9","on","hyvä","oma","F2013"
"Nättinummi","1h+k+p","kt","30,00",93100,3103,1973,"2/4","on","hyvä","oma","D2007"
"Mälikkälä","1h,kk","kt","30,00",125000,4167,2011,"2/5","on","hyvä","oma","A2007"
"Itäinen keskusta","1h, kk","kt","28,00",156000,5571,1957,"2/3","ei","hyvä","oma","G2013"
"Herttuankulma","1h, kt, asuntopiha","kt","28,50",130100,4565,2020,"2/7","on","hyvä"," ","B2018"
"Martti","1 h, kk, kph","kt","29,00",112000,3862,1944,"2/3","ei","hyvä","oma","F2018"
